,leftEyeTargetPosition,rightEyeTargetPosition,time,markerText
32173,"(97.1092, 7.4253, 250.0549)","(89.6792, 8.5275, 276.8873)",1901.984,StartNoEmotionalShot
32307,"(97.0034, 7.4294, 246.4092)","(92.6090, 7.2000, 270.0739)",1905.4489999999998,ShotOps
32974,"(97.6409, 7.4932, 248.3959)","(88.6198, 15.7343, 309.9488)",1921.12,ShotOps
33605,"(97.0891, 7.4529, 246.2719)","(88.4352, 8.6010, 275.6939)",1935.8129999999999,ShotOps
34535,"(96.8387, 7.4563, 245.7298)","(93.9380, 8.2160, 268.3387)",1957.236,ShotOps
35257,"(97.3787, 7.4686, 247.6276)","(69.7743, 50.5010, 548.1776)",1973.783,ShotOps
36065,"(97.0087, 7.3507, 247.1189)","(85.7116, 15.5458, 310.6669)",1992.241,ShotOps
36886,"(97.2639, 7.4372, 247.5042)","(87.3055, 12.7488, 305.9264)",2011.243,ShotOps
37683,"(97.1514, 7.4779, 246.1010)","(92.8520, 7.5490, 269.6326)",2029.779,ShotOps
38561,"(97.4183, 7.5026, 246.1039)","(94.0583, 8.9715, 268.3238)",2049.959,ShotOps
39437,"(96.9734, 7.4676, 245.3552)","(92.7453, 8.7808, 269.9973)",2069.949,ShotOps
40117,"(97.8030, 7.5223, 247.7959)","(92.3671, 11.9286, 271.9957)",2085.563,ShotOps
41014,"(96.9663, 7.3666, 247.2571)","(91.9088, 10.2968, 271.7190)",2105.999,ShotOps
42129,"(97.5873, 7.5185, 247.8035)","(84.7221, 15.7163, 311.5188)",2131.32,ShotOps
42940,"(97.9173, 7.4176, 250.1104)","(88.7867, 17.4455, 313.1588)",2150.377,ShotOps
43875,"(97.4410, 7.4595, 246.5058)","(93.9115, 8.4676, 268.4037)",2172.145,ShotOps
44846,"(97.0399, 7.3630, 248.6045)","(82.2643, 13.6810, 308.4167)",2194.734,ShotOps
45635,"(97.6910, 7.5105, 247.7034)","(92.0771, 8.9958, 271.2096)",2213.026,ShotOps
46354,"(96.8822, 7.3402, 246.9861)","(89.6448, 9.6550, 282.6491)",2229.784,ShotOps
47045,"(97.4760, 7.4760, 247.6042)","(93.4133, 10.7634, 269.2673)",2246.254,ShotOps
47833,"(97.5499, 7.4890, 247.6354)","(88.6673, 16.4010, 311.0708)",2264.146,ShotOps
48950,,,2289.234,StopNoEmotionalShot
